id,group_id,name,name_kana,zissen_man_player_id,hokei_man_player_id,zissen_woman_player_id,hokei_woman_player_id,hokei_sonen_player_id
110,14,佐々木　竜胆,ささき　りんどう,,,,,
111,14,平野　悠太,ひらの　ゆうた,,,,,
112,14,田村　哲也,たむら　てつや,,,,,
113,14,荻野　聖琉,おぎの　せいりゅう,,,,,
114,14,勝部　駿貴,かつべ　としき,,,,,
115,14,中原　啓太,なかはら　けいた,,,,,
116,14,西川　尚樹,にしかわ　なおき,,,,,
117,14,古家　采奈,ふるや　さいな,,,,,
118,14,土生田　夕香,はぶた　ゆうか,,,,,
119,14,古明地　未彩,こめいじ　みさ,,,,,
120,14,細田　美佳,ほそだ　みか,,,,,
121,14,森田　莉菜,もりた　りな,,,,,
122,14,山羽　紗由,やまは　さゆ,,,,,
123,14,深尾　空,ふかお　そら,,,,,
124,14,衣斐　花,えび　はな,,,,,
125,14,安藤　翠,あんどう　すい,,,,,
126,14,長島　和,ながしま　なごみ,,,,,
127,14,山際　真穂,やまぎわ　まほ,,,15,,
128,14,宇野　友季子,うの　ゆきこ,,,,,
129,14,大澤　夏帆,おおさわ　かほ,,,16,,
130,14,佐々木　万凜,ささき　まりん,,,,,
131,14,飯島　未夢,いいじま　みむ,,,,,
132,14,富松　亮太,とみまつ　りょうた,,,,,
133,14,進藤　玲那,しんどう　れいな,,,,13,
134,14,百瀬　晴菜,ももせ　はるな,,,,14,
135,14,奥谷　真美,おくたに　まみ,,,,,6
136,14,多田　倫子,ただ　みちこ,,,,,7
137,23,油井　陽,あぶらい　あきら,15,,,,
138,23,佐々木　秀彰,ささき　ひであき,16,,,,
139,23,志村　友秀,しむら　ともひで,17,,,,
140,23,木村　雅和,きむら　まさかず,18,,,,
141,23,立川　雄太,たちかわ　ゆうた,,,,,
142,23,村瀬　達也,むらせ　たつや,,,,,
143,2,濱中　孝之,はまなか　たかゆき,19,,,,
144,2,山口　莉歩,やまぐち　りほ,,,,15,
145,2,米澤　陽子,よねざわ　ようこ,,,,16,
146,2,大竹　澄怜,おおたけ　すみれ,,,17,,
147,2,亀井　結佳,かめい　ゆいか,,,,,
148,2,島村　舞,しまむら　まい,,,,,
149,2,河原田　倫世,かわらだ　ともよ,,,,,
150,2,村山　麻理香,むらやま　まりか,,,,,
151,2,中嶋 久美子,なかじま くみこ,,,,,
152,2,吉野　彰勝,よしの　あきまさ,,15,,,
153,2,川嶋　淳,かわしま　じゅん,20,,,,
154,2,土井　麗史,どい　れいり,,,,,
